File_Size_Bytes,Attributes,CPU_State,Memory_State,Network,Avail_CPU_%,Avail_Memory_%,Full_Execution_Time_s,Partial_RP1_Time_s,Transmission_Time_s,Partial_RP2_Time_s,Partial_Total_Time_s,Offload_Decision
1,2,Idle,Idle,LAN,59.45092147279404,55.315992854142436,0.07741022109985352,0.07154083251953125,0.0100039,0.01823126035826811,0.09977599287779935,0
1,2,Idle,Idle,WLAN,52.62091085083413,57.7013370156259,0.07908868789672852,0.07037472724914551,0.050007800000000005,0.0061110077572300095,0.12649353500637553,0
1,2,Idle,Medium,LAN,63.56420273352606,38.91390130112602,0.07745480537414551,0.07197880744934082,0.0100039,0.01805687312024726,0.10003958056958807,0
1,2,Idle,Medium,WLAN,56.76280361100204,28.701076220885156,0.08822131156921387,0.07140684127807617,0.050007800000000005,0.005967359522484855,0.12738200080056103,0
1,2,Idle,Critical,LAN,51.497855132638925,10.81287144575455,0.07703137397766113,0.07126832008361816,0.0100039,0.007380352236630576,0.08865257232024873,0
1,2,Idle,Critical,WLAN,76.276130575596,12.186544028557563,0.07742667198181152,0.07140541076660156,0.050007800000000005,0.01429794598694653,0.1357111567535481,0
1,2,Medium,Idle,LAN,47.24255663835294,65.29245082150206,0.07732152938842773,0.06981563568115234,0.0100039,0.006316812979857204,0.08613634866100954,0
1,2,Medium,Idle,WLAN,40.19979849553353,53.67517662319588,0.07633566856384277,0.07066178321838379,0.050007800000000005,0.013693805209727902,0.13436338842811169,0
1,2,Medium,Medium,LAN,34.831573963180176,34.28146842899443,0.0769808292388916,0.06882429122924805,0.0100039,0.008774257811193243,0.08760244904044129,0
1,2,Medium,Medium,WLAN,31.12387544891328,33.03523582553249,0.07702994346618652,0.07055830955505371,0.050007800000000005,0.005702775221612657,0.12626888477666637,0
1,2,Medium,Critical,LAN,36.23777475695006,10.880721757243116,0.07875657081604004,0.0697472095489502,0.0100038,0.012676050166555246,0.09242705971550545,0
1,2,Medium,Critical,WLAN,30.30223103262353,12.337118746647217,0.07684159278869629,0.07124900817871094,0.050007800000000005,0.013977858310979831,0.13523466648969076,0
1,2,Critical,Idle,LAN,0.3412291994409178,68.45670716713774,0.07900524139404297,0.07004237174987793,0.0100039,0.016285334262827297,0.09633160601270523,0
